UserId:ItemId,Prediction
u0000039:i0060196,7.072554646237583
u0000039:i0099077,7.093173949562615
u0000039:i0102926,6.582265997611965
u0000039:i0109830,7.087392370329621
u0000039:i0113277,6.953233966614665
u0000039:i0114924,7.033892374428346
u0000039:i0116695,7.196411486247358
u0000039:i0119217,7.030002756759387
u0000039:i0139462,6.971447246826352
u0000039:i0146984,6.932770597019658
u0000039:i0230838,6.824265487518593
u0000039:i0240890,6.896234658531829
u0000039:i0281358,6.771533862101023
u0000039:i0376541,7.172209755420793
u0000039:i0380389,6.669876669195531
u0000039:i0405159,7.1539071259772395
u0000039:i0473360,7.0404777647084025
u0000039:i0484740,7.031054879912788
u0000039:i0780536,6.580486338614384
u0000039:i0907657,6.861527059330095
u0000039:i1023111,7.040783566798629
u0000039:i1126590,6.543261360916026
u0000039:i1294226,6.847882269547567
u0000039:i1306980,6.848349206488981
u0000039:i1375666,6.6282808640692945
u0000039:i1392190,6.619903592144005
u0000039:i1403981,6.736935883153942
u0000039:i1498569,7.017196459955807
u0000039:i1595656,6.983688690982026
u0000039:i1606389,7.077004582770682
u0000039:i1613750,6.639502245206093
u0000039:i1638002,6.835243966791482
u0000039:i1655441,6.943095170442221
u0000039:i1659337,6.9711864847284355
u0000039:i1702439,6.763945296201585
u0000039:i1714915,7.106005196874486
u0000039:i1809398,6.92201291717026
u0000039:i1850397,6.85257966998669
u0000039:i1951265,6.595003558369893
u0000039:i1972779,6.768717679930972
u0000039:i2034031,6.891441290366563
u0000039:i2082197,6.647950010139055
u0000039:i2084970,6.368977583493851
u0000039:i2199571,6.463680158794125
u0000039:i2309260,6.908019100550119
u0000039:i2562232,6.576893232792533
u0000039:i2582802,6.9370861792288405
u0000039:i2713180,7.033367903444108
u0000039:i2872718,6.309137464207357
u0000039:i3235888,6.991649904239619
u0000039:i3729920,6.746373743827602
u0000046:i0033467,7.396056238241429
u0000046:i0041959,7.3982669064552145
u0000046:i0056663,7.334949513840787
u0000046:i0100234,6.890158908142999
u0000046:i0166924,7.2315682661477885
u0000046:i0233841,7.399907907690244
u0000046:i0361862,7.182282315426563
u0000046:i0499335,7.110724144092885
u0000046:i1020072,7.260277396986542
u0000046:i1100089,7.158037231559475
u0000046:i1392190,7.276843024102627
u0000046:i1791528,7.103302066144694
u0000046:i2141941,7.119477987724964
u0000046:i2326554,7.221168128795233
u0000046:i2582802,7.214571611805861
u0000046:i2788710,7.20755804794584
u0000046:i2802154,7.124705057715539
u0000046:i3235888,6.89132003744669
u0000046:i3263614,7.116978386728467
u0000046:i3374966,6.9557462696181895
u0000046:i3416744,7.171945102876419
u0000046:i3612616,7.239869193412025
u0000046:i3630276,7.262904883660931
u0000046:i3715320,6.661999516707566
u0000046:i4408178,7.134583451040745
u0000060:i0418279,7.535690115611244
u0000060:i0816692,7.616954290075037
u0000060:i1055369,7.467006099458762
u0000060:i1399103,7.506398652266559
u0000060:i1418377,7.298603915115692
u0000060:i2024469,7.266584843308961
u0000060:i2872732,7.139114028823877
u0000077:i0068646,7.45179685208983
u0000077:i0073195,6.689501760399883
u0000077:i0455407,6.5849632863554
u0000077:i0479997,6.207592955052293
u0000077:i1229238,6.152999266671253
u0000077:i1385956,6.340425979251152
